,country_code
CN,189
US,160
SG,116
TW,87
RU,49
KR,40
SE,35
NL,23
HK,22
IN,19
IT,18
BR,17
NO,17
RO,16
NP,11
CL,10
VN,9
ID,9
PH,9
FR,8
BD,8
TR,8
CA,7
PL,7
MX,6
GB,6
CZ,6
DE,5
TH,5
IL,5
JP,4
AE,4
CO,4
DK,4
EU,4
BG,4
PE,3
AR,3
KH,3
ES,3
BO,2
BE,2
EG,2
NG,2
UA,2
PY,2
KZ,2
AU,2
IR,2
PA,2
PK,2
MY,1
EC,1
KE,1
LT,1
GM,1
ZM,1
MO,1
SV,1
AL,1
ZA,1
CH,1
MU,1
PS,1
SA,1
